Wall time,Step,Value
1712468872.1742098,500,2.260129690170288
1712468928.3056273,1000,1.89443838596344
1712468984.6311595,1500,1.6760421991348267
1712469040.6740623,2000,1.5045803785324097
1712469096.867035,2500,1.4192407131195068
1712469152.8634033,3000,1.3566709756851196
1712469208.77394,3500,1.3227298259735107
1712469264.7903113,4000,1.282853126525879
1712469320.7663257,4500,1.2493178844451904
1712469376.688727,5000,1.2344183921813965
1712469432.6290624,5500,1.2164291143417358
1712469488.5393627,6000,1.2063779830932617
1712469544.4231155,6500,1.1905850172042847
1712469600.402893,7000,1.1759120225906372
1712469656.2827287,7500,1.1732393503189087
1712469712.1584482,8000,1.1557414531707764
1712469768.1381874,8500,1.149965524673462
1712469823.989191,9000,1.141189455986023
1712469879.866769,9500,1.1332910060882568
1712469935.8305943,10000,1.1288436651229858
